timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610629077262,2974,GET LIST,200,,Load Test 1-100,text,true,,939218,125,36,36,http://localhost:9092/list/read,2959,0,17
1610629077299,2968,GET LIST,200,,Load Test 1-99,text,true,,939218,125,36,36,http://localhost:9092/list/read,2948,0,1
1610629077396,3189,GET LIST,200,,Load Test 1-98,text,true,,939218,125,39,39,http://localhost:9092/list/read,3171,0,0
1610629077498,3487,GET LIST,200,,Load Test 1-97,text,true,,939218,125,43,43,http://localhost:9092/list/read,3465,0,1
1610629077597,3635,GET LIST,200,,Load Test 1-96,text,true,,939218,125,46,46,http://localhost:9092/list/read,3617,0,1
1610629077696,3840,GET LIST,200,,Load Test 1-95,text,true,,939218,125,49,49,http://localhost:9092/list/read,3819,0,1
1610629077797,3878,GET LIST,200,,Load Test 1-94,text,true,,939218,125,50,50,http://localhost:9092/list/read,3857,0,1
1610629077896,3897,GET LIST,200,,Load Test 1-93,text,true,,939218,125,51,51,http://localhost:9092/list/read,3873,0,0
1610629077996,3957,GET LIST,200,,Load Test 1-92,text,true,,939218,125,53,53,http://localhost:9092/list/read,3913,0,0
1610629078096,3885,GET LIST,200,,Load Test 1-91,text,true,,939218,125,53,53,http://localhost:9092/list/read,3870,0,1
1610629078296,5641,GET LIST,200,,Load Test 1-89,text,true,,939218,125,73,73,http://localhost:9092/list/read,5622,0,3
1610629078196,5746,GET LIST,200,,Load Test 1-90,text,true,,939218,125,73,73,http://localhost:9092/list/read,5726,0,0
1610629078397,5805,GET LIST,200,,Load Test 1-88,text,true,,939218,125,76,76,http://localhost:9092/list/read,5786,0,1
1610629078497,6027,GET LIST,200,,Load Test 1-87,text,true,,939218,125,79,79,http://localhost:9092/list/read,6009,0,1
1610629078596,6211,GET LIST,200,,Load Test 1-86,text,true,,939218,125,82,82,http://localhost:9092/list/read,6192,0,0
1610629078695,6384,GET LIST,200,,Load Test 1-85,text,true,,939218,125,84,84,http://localhost:9092/list/read,6367,0,1
1610629078798,6574,GET LIST,200,,Load Test 1-84,text,true,,939218,125,87,87,http://localhost:9092/list/read,6554,0,0
1610629078896,6730,GET LIST,200,,Load Test 1-83,text,true,,939218,125,90,90,http://localhost:9092/list/read,6709,0,1
1610629079108,6652,GET LIST,200,,Load Test 1-81,text,true,,939218,125,91,91,http://localhost:9092/list/read,6635,0,1
1610629078997,6785,GET LIST,200,,Load Test 1-82,text,true,,939218,125,91,91,http://localhost:9092/list/read,6768,0,0
1610629079311,8470,GET LIST,200,,Load Test 1-79,text,true,,939218,125,100,100,http://localhost:9092/list/read,8445,0,1
1610629079217,8738,GET LIST,200,,Load Test 1-80,text,true,,939218,125,100,100,http://localhost:9092/list/read,8720,0,1
1610629079417,8659,GET LIST,200,,Load Test 1-78,text,true,,939218,125,100,100,http://localhost:9092/list/read,8641,0,1
1610629079510,8777,GET LIST,200,,Load Test 1-77,text,true,,939218,125,100,100,http://localhost:9092/list/read,8759,0,1
1610629079618,8913,GET LIST,200,,Load Test 1-76,text,true,,939218,125,100,100,http://localhost:9092/list/read,8895,0,1
1610629079714,9042,GET LIST,200,,Load Test 1-75,text,true,,939218,125,100,100,http://localhost:9092/list/read,9024,0,1
1610629079807,9196,GET LIST,200,,Load Test 1-74,text,true,,939218,125,100,100,http://localhost:9092/list/read,9178,0,1
1610629080743,8298,Create LIST,201,,Load Test 1-100,text,true,,319,251,100,100,http://localhost:9092/list/create,8298,0,0
1610629080774,8268,Create LIST,201,,Load Test 1-99,text,true,,319,251,100,100,http://localhost:9092/list/create,8268,0,0
1610629079917,9442,GET LIST,200,,Load Test 1-73,text,true,,939218,125,100,100,http://localhost:9092/list/read,9426,0,1
